"","comp1","comp2"
"ZKVR426-07",1.98690276017787,-3.34153588234773
"ZV14SIB-04",-10.921076025157,8.84355025582889
"ZQFL1P3-6011",-3.25481459375873,-1.89816444729343
"ZLGD9M0-13",-4.91654452093671,-1.46816001881057
"ZUF48YS-07",-3.86730209490956,-0.793124098562655
"ZLZNCLZ-10",-4.72828665005055,-2.7565826985887
"ZN9YTFN-6021",3.16188203028396,-0.403198951277506
"ZMBVNFM-2013",-2.30592947270764,-1.8891172363019
"ZNDMXI3-02",2.81283800629457,0.588275670787017
"ZLZQMEV-08",3.57915718729367,3.02173162130863
"ZTL5S2Y-1023",-6.02081731628512,-1.71523849120781
"ZY9XQJP-07",-4.79094807021147,-1.28299088434517
"ZOZOW1T-1043",-5.93832861252292,4.7436131680463
"ZL9BTWF-07",-4.50407454536998,-1.03472942460614
"ZMBVNFM-04",-0.129681285913702,3.32929001367998
"ZR3WH7V-04",-6.47526840721501,0.243932635910971
"ZLTUJTN-2024",-3.08597110777106,0.111146698865101
"ZY1ZKJY-09",-6.82531115782884,-0.380178606785466
"ZN0JE53-09",-3.15233552901991,3.04656959957023
"ZOZOW1T-71",-6.22817199818186,-0.396596196416053
"ZYU89T9-02",-10.3406922019487,-1.46955805033956
"ZTMFN3O-1015",-10.3214359410976,-7.14127065904569
"ZVC4YUG-02",-11.4876516325582,-1.88040589506037
"ZYLJ7R7-06",-13.0566580824799,-7.8503337027502
"ZOZOW1T-7038",-10.7942913484646,-7.3620531847265
"ZK4CK8Y-01",-8.78284484590168,-5.10362141338842
"ZQFL1P3-6021",-5.63382049590967,-7.09071887670692
"ZN3TBJM-1014",-6.70807872513008,-2.84750116614099
"ZTJ7L7Z-06",-7.85382320532878,-6.13059926724458
"ZMGT937-06",-2.12940716499776,-3.86731250404145
"ZKFV71L-6021",-4.80234678161915,-3.9133312404086
"ZK4CK8Y-02",-3.8718823417495,-3.12901621258205
"ZO9UWDL-02",-5.55174309293664,-4.68383765714511
"ZNED4XZ-2011",-5.7705861922374,-5.11857199970026
"ZNDMXI3-01",-4.95844996544303,-5.00905503921006
"ZY7IW45-04",-4.69384226482566,-4.28831892083725
"ZX52KVK-01",-9.30875359198889,2.42148128991959
"ZL9BTWF-6031",-5.211068611588,-3.54332210496352
"ZWLGEWL-06",-7.50288231202546,-1.72037794450536
"ZN3TBJM-2041",-6.00219431821881,-3.5886058103511
"ZOZOW1T-4024",-3.996983377925,-1.65095704986669
"ZVNCGHM-10",-5.40602098346754,-1.07898127851375
"ZXSO14L-02",-6.34748543264643,-1.01867764444536
"ZUC2YGO-05",-6.53703029296325,-5.47459944496379
"ZLTUJTN-2034",-8.13111670710408,-1.50844415159324
"ZOZOW1T-7037",-6.84434905292655,-1.69374448574758
"ZMGT937-1011",-8.73722223003221,2.43592021559063
"ZQFL1P3-03",-8.52982128316754,-2.90249982309113
"ZVNCGHM-1013",-9.08230195001626,-2.07245888029162
"ZN0JE53-12",-9.32701572303428,-3.66234364846055
"ZUPAQVU-07",-8.615441170402,-3.61786481404991
"ZKVR426-2024",-7.10187999601868,-5.21566656230397
"ZMGT937-04",4.66330434278247,-4.87913627812094
"ZWCZHHY-07",2.19386920573409,-4.78162009636358
"ZO94RDZ-07",4.49891542192,-4.44056894925669
"ZN3TBJM-4013",3.04614562098555,1.9677427074365
"ZL9BTWF-1022",14.5581478925245,1.07902024397545
"ZN3TBJM-03",7.59796468459536,-0.546778534379465
"ZY1ZKJY-07",3.92937415508427,-0.838896622364571
"ZKVR426-1015",7.23112088627617,-2.95427829358944
"ZMBVNFM-1013",3.89103283418043,-2.00468252744127
"ZNDMXI3-08",9.01652977872715,-0.389323017635343
"ZPDABJR-6011",3.81219055907424,-2.80489867825096
"ZKVR426-2012",0.521085317880782,-1.40931443806284
"ZKFV71L-02",-0.486884545030916,-0.290672611051231
"ZLZNCLZ-2011",2.24946919977754,-0.977557319077051
"ZMBVNFM-02",0.808329543695735,-1.97022838874548
"ZLPZS0H-11",4.12389126167498,-3.30798919052579
"ZR47VBL-03",2.69751052420109,-0.903446774775859
"ZM8YXDM-11",-7.21161215902418,-11.5666155097399
"ZNED4XZ-2012",-1.92561745856288,-8.30782695916479
"ZVNCGHM-6031",-3.66043401383263,-7.27669160924659
"ZNED4XZ-4013",-1.44638745631007,-8.33971064611004
"ZUF48YS-05",-4.5711149507202,-8.49383679014792
"ZLTUJTN-2032",-2.37248081842061,-9.59354075225289
"ZW61YGW-01",1.70947570760872,-5.216271009101
"ZNQOVZV-1015",6.44201004739561,-1.99674055197973
"ZYHHR4Z-2012",4.01241581487525,-3.99765645966818
"ZN9YTFN-1013",0.93123412651057,-4.73176040168616
"ZYLJ7R7-03",4.33171652975107,-1.83266057313615
"ZTL5S2Y-03",5.09698664858637,-1.47894443481262
"ZOZOW1T-4025",5.17853937950204,-1.64273684674549
"ZS78KHV-01",6.58378044928206,0.458399178600251
"ZTJ7L7Z-03",0.786190078528744,-1.82681453681987
"ZPEL6L3-1014",-3.01380544163796,-4.09466465897292
"ZO5QFNX-1013",-3.56040091549505,-1.12572189461993
"ZTXWLP3-02",-3.88766880868467,-5.04387166299176
"ZM8YXDM-01",-3.36449248855362,-3.18405857183697
"ZNED4XZ-3001",-4.2380057482152,-3.25407365394061
"ZPDABJR-3014",2.34736942742655,-1.33864877259528
"ZK01UI6-01",-8.02002318509008,0.299454664228645
"ZOZOW1T-58",-3.6739461156581,-3.74349867199441
"ZYHHR4Z-8013",-2.11292492790292,-3.37305599500786
"ZY39SN0-09",1.1211936686044,-1.98501955700143
"ZOZOW1T-6031",2.82992258564869,-3.47145657531368
"ZKFV71L-09",-2.96835760520229,-4.42195000112284
"ZOZOW1T-7022",-2.08231619890099,-5.39329431858792
"ZXHCGKV-02",3.09928349293721,-6.21384921454661
"ZOZOW1T-4021",-0.147869805752864,-5.05124025217072
"ZLTUJTN-07",-0.814821333667464,-8.23139646437866
"ZLZNCLZ-1036",7.60575241279527,-2.17516444965787
"ZWLGEWL-01",5.5836922536979,-4.27162416047713
"ZTUO1AO-01",7.48315832403875,-1.88891017576185
"ZN9YTFN-01",7.46801492585554,-1.74374991822408
"ZN3TBJM-2035",13.6014528468028,2.77474967764667
"ZK112BX-07",6.42957998512272,-1.77672600118074
"ZYLJ7R7-1014",6.67535762259066,-1.77384403777321
"ZOZOW1T-1015",7.22128658503415,-2.37911196525425
"ZUG7QHE-07",6.82555037267545,-1.59584588995362
"ZUC2YGO-1012",4.52845194307059,0.551429549668882
"ZTL5S2Y-1014",5.31576147451979,-0.279193232559514
"ZX52KVK-1014",9.46698769299796,0.146696266215715
"ZN3TBJM-2022",5.72337310216187,-6.64594988608299
"ZMBVNFM-1022",6.67683777783692,-2.20028743286603
"ZR3WH7V-03",11.7626251190269,-2.05665784945456
"ZL9BTWF-1013",7.65108893386243,-1.33096628339515
"ZN3TBJM-01",8.35196792136251,0.275946571201766
"ZX52KVK-2021",2.37140776977076,7.79887212254902
"ZN0JE53-2014",4.03495953398038,11.1408795417761
"ZYHHR4Z-02",1.47566690554067,4.8902214778385
"ZOZOW1T-1021",0.823935920686617,6.22499633507383
"ZYHHR4Z-10",5.2091446131555,6.21479971812658
"ZLPZS0H-09",2.6402748538681,6.39196255654237
"ZN0JE53-03",6.84605660414974,8.73451504140044
"ZY1ZKJY-2014",1.7354923056665,5.00445828131872
"ZLYEM2C-07",7.08471940581718,-4.31666792584673
