"","comp1","comp2"
"ZKVR426-07",4.47784458034455,3.64791210021039
"ZV14SIB-04",-15.6156583849254,-32.3774109571789
"ZQFL1P3-6011",-2.16687904969548,2.58622400762901
"ZLGD9M0-13",-3.34177475555209,0.65346530411859
"ZUF48YS-07",-3.43520342165866,1.73226367713108
"ZLZNCLZ-10",-3.55493687801293,0.394278284176203
"ZN9YTFN-6021",1.8430026022039,2.01819307386553
"ZMBVNFM-2013",-0.904256393050701,2.5824574183097
"ZNDMXI3-02",1.7769178266954,2.21779153035809
"ZLZQMEV-08",2.33881727995938,7.09884513330729
"ZTL5S2Y-1023",-4.96964245675869,0.198469459247384
"ZY9XQJP-07",-3.83209742776392,-0.405183187155391
"ZOZOW1T-1043",-8.05630039604689,-6.92517646228754
"ZL9BTWF-07",-4.37345625774054,1.78233141604019
"ZMBVNFM-04",-1.98736318163352,3.41132346156756
"ZR3WH7V-04",-6.24389416528481,-0.642003460981191
"ZLTUJTN-2024",-3.5500805904997,2.38448672021069
"ZY1ZKJY-09",-6.52287981805629,1.80219926529431
"ZN0JE53-09",-5.46182463929159,-4.37490715230928
"ZOZOW1T-71",-5.72846388680789,-0.0997930627715354
"ZYU89T9-02",-8.11380122083672,-6.96942791634729
"ZTMFN3O-1015",-3.83560523310957,1.51763392655211
"ZVC4YUG-02",-8.17326049802831,-3.34278512999216
"ZYLJ7R7-06",-6.17680837455734,1.68737773394505
"ZOZOW1T-7038",-4.18989344498787,0.406610808839876
"ZK4CK8Y-01",-4.52991899343638,-7.19241143182139
"ZQFL1P3-6021",-1.73144740971985,1.99340526636646
"ZN3TBJM-1014",-5.01094715012127,1.08244840152532
"ZTJ7L7Z-06",-3.97059863413314,3.13572049371334
"ZMGT937-06",0.495838962652436,5.25377333368312
"ZKFV71L-6021",-2.70938248034296,4.0018780225509
"ZK4CK8Y-02",-2.32001288377839,1.43067517436001
"ZO9UWDL-02",-3.48697280083471,5.56836198040389
"ZNED4XZ-2011",-2.7325222405078,4.27884182941124
"ZNDMXI3-01",-1.96796874610777,4.07719848400343
"ZY7IW45-04",-2.0792789642011,1.6174695389318
"ZX52KVK-01",-8.41073706115065,-3.13079251318503
"ZL9BTWF-6031",-1.90402911518039,4.12332520254245
"ZWLGEWL-06",-5.32841159183469,0.905103182051084
"ZN3TBJM-2041",-3.07957418362589,5.53566758164816
"ZOZOW1T-4024",-2.0762479279958,0.617372101389283
"ZVNCGHM-10",-2.69180746796853,3.5031283927514
"ZXSO14L-02",-4.26170458795477,3.02139755672982
"ZUC2YGO-05",-2.7823241332676,3.21297195521247
"ZLTUJTN-2034",-6.67442842491717,0.0504544746409068
"ZOZOW1T-7037",-5.64159158553236,-0.867149378861329
"ZMGT937-1011",-9.09821965618569,-5.82139516028027
"ZQFL1P3-03",-6.19358667388482,1.11627130945939
"ZVNCGHM-1013",-7.14402363205381,2.72015518544889
"ZN0JE53-12",-6.15234667638313,2.15769401917454
"ZUPAQVU-07",-5.78197244175758,1.20130646415834
"ZKVR426-2024",-3.06307385466682,2.71083935560657
"ZMGT937-04",7.75043836679514,-0.325822509414053
"ZWCZHHY-07",4.68982055775306,2.01518112275595
"ZO94RDZ-07",7.15146826871796,2.43323272987286
"ZN3TBJM-4013",2.12966602718004,-9.81769581484993
"ZL9BTWF-1022",13.0280661546621,4.19555099607537
"ZN3TBJM-03",7.92955388722702,-1.38915003325112
"ZY1ZKJY-07",4.6009836520756,-0.63345784447358
"ZKVR426-1015",9.09367611832483,0.259315121468607
"ZMBVNFM-1013",5.00438182380187,0.474628892109257
"ZNDMXI3-08",9.467502429682,4.38720213001036
"ZPDABJR-6011",5.03939849781581,-2.62488805329877
"ZKVR426-2012",2.02973319841338,-2.5749344496051
"ZKFV71L-02",1.12797650182782,0.0740947758664814
"ZLZNCLZ-2011",3.33312873507873,2.47046745614166
"ZMBVNFM-02",2.99009708994673,4.91079757969636
"ZLPZS0H-11",6.60899703517433,3.39415488099669
"ZR47VBL-03",2.73731994923294,-1.21877181300592
"ZM8YXDM-11",3.30666620631965,-5.20962356378813
"ZNED4XZ-2012",3.37396278702283,-2.91956292947567
"ZVNCGHM-6031",1.51114150429796,-2.61786072606839
"ZNED4XZ-4013",3.35208323134485,2.06392479138946
"ZUF48YS-05",0.896049212303989,-1.68846348041862
"ZLTUJTN-2032",3.77535655419927,-1.52846941956593
"ZW61YGW-01",3.1922080395856,4.63816445079929
"ZNQOVZV-1015",6.07479480834621,3.05066882930908
"ZYHHR4Z-2012",5.15376555101974,5.38422046743938
"ZN9YTFN-1013",2.36163539125365,4.72280484648422
"ZYLJ7R7-03",4.44989552602835,3.46962154300396
"ZTL5S2Y-03",4.81846418230185,3.63944780780663
"ZOZOW1T-4025",4.2993721952531,1.43339648103639
"ZS78KHV-01",5.15276370258598,4.87734542793725
"ZTJ7L7Z-03",3.9479081300228,0.374837138445214
"ZPEL6L3-1014",1.83045317724671,-1.29603336815795
"ZO5QFNX-1013",-0.880972458878528,-2.39524271176898
"ZTXWLP3-02",-0.140496421916203,-0.835480390900783
"ZM8YXDM-01",-0.742121570744514,-2.14764372730697
"ZNED4XZ-3001",-2.06603334265169,-3.26865313131737
"ZPDABJR-3014",3.45446410046618,-0.283727149163057
"ZK01UI6-01",-8.26064077227345,-8.6917728989129
"ZOZOW1T-58",-0.506028784510144,0.358542389142698
"ZYHHR4Z-8013",0.790740028999647,-4.28624142394
"ZY39SN0-09",2.65571432264699,-0.960490934868375
"ZOZOW1T-6031",4.24822723386801,-2.16750512890713
"ZKFV71L-09",-0.2486178733403,-3.25316118325589
"ZOZOW1T-7022",0.294805718013787,-4.57140238928934
"ZXHCGKV-02",5.41946677418393,-5.66371388003708
"ZOZOW1T-4021",2.9699497498695,-3.72614854579142
"ZLTUJTN-07",3.00965910647033,-4.46512659142765
"ZLZNCLZ-1036",7.96505839537021,0.0819636177453937
"ZWLGEWL-01",7.84936907056787,-2.37766561887063
"ZTUO1AO-01",5.8901814402199,-0.731754196704721
"ZN9YTFN-01",6.66380229422656,-0.0666015944166558
"ZN3TBJM-2035",10.7834330019495,6.1777876083619
"ZK112BX-07",6.62478950130405,0.0369558004800497
"ZYLJ7R7-1014",7.51559562986956,-1.59605034543233
"ZOZOW1T-1015",7.04741379632834,1.55862822062891
"ZUG7QHE-07",5.32950266592783,0.766329946186531
"ZUC2YGO-1012",4.4057447032386,-1.10964405569206
"ZTL5S2Y-1014",5.17256233133537,3.36804612583482
"ZX52KVK-1014",8.0569504323125,1.96749208316029
"ZN3TBJM-2022",7.42155246870015,0.00313528752717055
"ZMBVNFM-1022",6.72729515916773,3.81552149295606
"ZR3WH7V-03",11.210628332538,3.51706691904278
"ZL9BTWF-1013",6.85471849268112,3.49875820323985
"ZN3TBJM-01",7.12753507730914,0.473167367004019
"ZX52KVK-2021",-1.93507025643708,9.2928617557919
"ZN0JE53-2014",-2.42791902229844,11.4899247246458
"ZYHHR4Z-02",-1.11199612774112,7.13726164420825
"ZOZOW1T-1021",-2.83645215771409,9.45022191721926
"ZYHHR4Z-10",1.73502961251161,13.7208754156035
"ZLPZS0H-09",-0.0404977450822021,10.0013851655573
"ZN0JE53-03",1.27772130229194,13.7183317881615
"ZY1ZKJY-2014",-1.1944736211544,12.0211848282502
"ZLYEM2C-07",7.78736321895755,5.06107830247125
"ZTLUDS8-09",7.67529649959602,3.8610708659154
"ZO5QFNX-1012",9.76900035715497,3.56577792192196
"ZKFV71L-2013",10.4032083723397,4.96709334955307
"ZVNCGHM-6021",11.4014516922068,6.29736428930587
"ZLGD9M0-1012",12.5565745990839,6.69128495085087
"ZN0JE53-2012",9.18765405288285,1.75472947709076
"ZO94RDZ-04",5.88391209923434,1.68877729001723
"ZL63I8R-12",6.69661587107341,-4.63165263164598
"ZYU89T9-2013",6.73209216508306,-3.07404646100162
"ZVNCGHM-6041",6.53404866765864,-0.624569537835002
"ZTLUDS8-1023",5.08411256324842,-6.00965756563609
"ZKVR426-13",-1.22633254043837,4.86757949667309
"ZM7JY3G-04",-3.75401293074611,3.94753842022654
"ZKFV71L-2015",0.0560628212975213,6.61685564827446
"ZX52KVK-2014",0.431569764435588,5.20321646793692
"ZYHHR4Z-2021",-4.00367639867962,1.7703960462503
"ZM7JY3G-02",-1.78310853407658,5.53748071674371
"ZMGT937-01",5.66286634547591,3.76364842144439
"ZLPZS0H-07",5.70930185625692,2.85734748967729
"ZN3TBJM-07",4.54277240645621,1.12551324940527
"ZPEL6L3-02",4.2609815518675,-1.58364436540282
"ZLZQMEV-12",4.20440256539403,2.44404294314358
"ZNQOVZV-1014",3.59494599494537,-7.48728787226095
"ZWCZHHY-06",2.13893353990174,1.27807932976052
"ZN3TBJM-1023",6.28903000433216,3.13593526958853
"ZUG7QHE-03",4.12588194675149,1.69971539882998
"ZW61YGW-03",9.73949884704998,7.49422040320205
"ZQNZSQF-02",5.74661594673837,3.58835041673512
"ZM8YXDM-02",4.72222346450151,2.7430164573465
"ZTMFN3O-04",4.97401790673488,1.6259547273146
"ZO5QFNX-1014",10.0601377846551,0.00935703434828188
"ZOQM06Q-01",3.22806915354163,4.97004700593436
"ZMBVNFM-03",2.72834365661961,3.34117662765977
"ZWLGEWL-2013",4.77255822013726,5.41223291668141
"ZLYEM2C-01",1.30117749244291,3.72040420988343
"ZN9YTFN-6031",6.02471551763211,5.73633195892358
"ZPMBHPS-01",4.31312716035027,6.80782917275338
"ZVTCAK9-01",0.762541907682442,5.00569338560803
"ZLPZS0H-2013",-1.66441869351527,5.02580117290081
"ZTMFN3O-01",1.38913867069416,5.74627586098298
"ZVM4N7A-02",1.98123701968165,1.60801957690447
"ZY9XQJP-10",1.45968977669511,-0.506681616866318
"ZN9YTFN-1011",3.37020317240973,-1.65998011592948
"ZTL5S2Y-1011",1.5520147378658,-2.05321560010502
"ZPXU188-03",2.29561049123337,-4.40028284080405
"ZN0JE53-11",3.70150386282861,-2.6515238969393
"ZN3TBJM-04",3.98865685280023,-1.64984209737868
"ZOZOW1T-80",4.39571186254493,-3.71876465690045
"ZLTUJTN-2031",5.04686965974741,-1.36511162780251
"ZN3TBJM-06",4.25056192432201,-0.826776337729462
"ZLZQMEV-06",5.40691965727645,1.59780622953714
"ZSUQ08V-01",2.41726169906911,0.957151966856575
"ZPDABJR-3013",-8.66176836595046,-1.98962177192421
"ZY1ZKJY-01",-5.37484601191935,2.36398000833848
"ZL63I8R-14",-7.20329091582024,0.854263601646444
"ZLTUJTN-2012",-8.81488349402171,-3.89747900287129
"ZR47VBL-04",-6.93217683418202,1.75772545658864
"ZJTKAE3-2013",-7.82330476733757,0.0262969544773047
"ZKVR426-1013",-9.26763245775649,-1.61035781625665
"ZOZOW1T-63",-6.95570702761308,3.06074535530998
"ZX52KVK-2013",-7.20090458252653,-1.35794109566413
"ZUL3S6O-07",-9.77708507718318,-3.17556451201894
"ZTMFN3O-1012",-10.0686458915234,-2.5908788204156
"ZX52KVK-2022",-15.0843961481407,-9.59581600315516
"ZYXQKWY-03",-9.70933928211139,-0.137322077603448
"ZN0JE53-07",-8.71945543338472,-0.18746271281554
"ZK4CK8Y-09",-5.1715952060365,1.24212897230922
"ZNQOVZV-01",-6.78716959059306,1.2714126560146
"ZM8YXDM-03",-6.44569730418805,1.95179927948648
