"","comp1","comp2"
"ZWLGEWL-02",-5.59558172452398,4.7497950846297
"ZW61YGW-04",-2.18864271122684,0.308847658817901
"ZQMVU4Q-04",-1.8424613995282,-0.0637257653384311
"ZLTUJTN-11",-1.81425688442473,0.619279513476
"ZVBQY1N-03",-1.48962277263152,1.11817743788314
"ZLGD9M0-1012",4.43641351853819,1.36705458122371
"ZUPAQVU-10",4.20524856104041,1.54936942858051
"ZLGD9M0-15",2.30867548019534,-0.422164428213534
"ZX52KVK-2022",-3.71619699451934,7.91005666657973
"ZY9XQJP-01",-0.0446933880406726,-1.05844142205872
"ZVBQY1N-07",-1.7916410786468,0.901049664845075
"ZMBVNFM-10",-2.83279925069258,-1.31212554049075
"ZVNCGHM-1011",-3.54300612685758,-1.03662226844843
"ZL9BTWF-06",-1.773195702717,-0.655469156288395
"ZUPAQVU-07",-0.0724424184376296,1.84836550520629
"ZJXC41N-03",-1.09607716623823,-0.901768873340932
"ZTJ7L7Z-02",-1.79813943841018,-0.843015194506739
"ZPDABJR-3013",-4.93261609983062,-2.32262542261314
"ZKFV71L-07",3.82250395174585,0.185492688597916
"ZN0JE53-02",5.36281829764564,1.95462675390071
"ZM8YXDM-11",4.47062689891824,12.608724707567
"ZWHMV5E-01",5.7676675271576,5.76089870729406
"ZL9BTWF-1011",6.93731313910014,0.02441610343526
"ZOZOW1T-84",7.32042207397106,1.23060185987998
"ZN3TBJM-2025",14.7800621848099,-1.06431412704171
"ZVNCGHM-10",3.7181785455731,-0.863158815056129
"ZLZNCLZ-1025",3.79969304158176,1.37206005308659
"ZLZNCLZ-2015",2.43152733752546,-0.83388912011032
"ZPMBHPS-01",5.34583436450773,2.1376436171468
"ZKFV71L-2013",2.74452910088196,-1.04459502200274
"ZLTUJTN-2034",4.72543880083438,-0.435188507058174
"ZWLGEWL-2013",3.37556598634953,-0.609815595512669
"ZN9YTFN-1015",3.30809599914639,0.162334860883673
"ZPEL6L3-02",3.46460431245247,-0.157625811752592
"ZN9YTFN-04",1.10260143128968,-0.819382864672493
"ZX52KVK-6031_2",-3.52359395107369,-2.33317550474592
"ZLZQMEV-1015",1.71029216475235,-1.19324558760671
"ZM8YXDM-06",2.13675914593454,2.76607688588317
"ZUL3S6O-2015",1.04955043495984,0.65760221434562
"ZW61YGW-05",0.675582154823119,0.253969072974218
"ZNDMXI3-06",0.479345933936481,1.55260252316919
"ZKFV71L-2014",-2.15174144518616,0.104209889727257
"ZKVR426-1012",-0.0795837172275966,12.6527287524604
"ZN0JE53-03",0.459346517167508,3.72594923832062
"ZKVR426-09",1.97815296050763,0.616781686774524
"ZKVR426-1015",-0.573347594123523,-0.326643116192426
"ZN3TBJM-03",0.334259787947257,2.30545323162924
"ZLZQMEV-10",2.49044272015418,1.11179963864774
"ZLZNCLZ-1012",2.44841390052577,-0.567343301361817
"ZWFDEY0-09",-1.02427906004847,-2.01366950651992
"ZOZOW1T-4021",0.703763222277055,0.392222995359001
"ZLTUJTN-2033",1.01246223483684,-0.427884071643123
"ZUPAQVU-04",0.519850805864678,-0.424805736151037
"ZY7IW45-04",0.89641848706344,0.870490193619451
"ZXSO14L-02",2.49515426633668,2.29504496107675
"ZLZQMEV-12",-1.74926282993542,1.82102903875945
"ZLTUJTN-12",-2.2818475330064,2.45787942897128
"ZN3TBJM-02",-2.18735715136055,-2.96180389665358
"ZWCZHHY-04",0.742793690128686,-1.08740260042449
"ZWFDEY0-05",-1.41441024527502,-0.351095085526439
"ZLPZS0H-15",-3.92309715273518,3.23182971424997
"ZL63I8R-11",1.28221371066029,-1.45533285627871
