"","comp1","comp2"
"ZKVR426-07",-0.0491560722331919,-0.168588870114223
"ZV14SIB-04",1.26363835964291,0.945907048363008
"ZQFL1P3-6011",-1.6709437014423,1.53553267695983
"ZLGD9M0-13",-0.743212955826835,1.77316330212826
"ZUF48YS-07",0.0148488804574009,1.04506769613565
"ZLZNCLZ-10",-1.35598177614536,2.02414000838148
"ZN9YTFN-6021",-3.54092090034722,-3.61727476285586
"ZMBVNFM-2013",-0.168906080349196,-2.0869217599792
"ZNDMXI3-02",-1.00885300526323,-1.86828102154484
"ZLZQMEV-08",4.15872585041862,-4.62689180977869
"ZTL5S2Y-1023",-2.90372394324202,1.08987910573392
"ZY9XQJP-07",0.093898414789291,0.0274777567940325
"ZOZOW1T-1043",-1.75397336534022,1.98316821387124
"ZL9BTWF-07",1.94047468556858,0.556874717906632
"ZMBVNFM-04",1.47800599208541,0.809935689310947
"ZR3WH7V-04",0.409107872018701,0.747309272612146
"ZLTUJTN-2024",0.184302164786593,1.99809316953385
"ZY1ZKJY-09",-5.56140664795485,2.34302046440516
"ZN0JE53-09",-2.27130211907617,-2.58340050537167
"ZOZOW1T-71",-3.95347918717651,-2.80553715890662
"ZYU89T9-02",-3.47852775837804,-2.90831765725546
"ZTMFN3O-1015",-11.614184329308,-1.37798917223361
"ZVC4YUG-02",-5.93302625410712,-2.60665238683569
"ZYLJ7R7-06",-7.20037104812261,-2.24577328865026
"ZOZOW1T-7038",-2.9662743432543,-4.22987071845521
"ZK4CK8Y-01",-6.81311253644214,-9.68033958454487
"ZQFL1P3-6021",-0.882863451184787,-2.49047570579166
"ZN3TBJM-1014",-2.56964391754598,-1.23752975207204
"ZTJ7L7Z-06",-0.847485940618819,-0.455776456959443
"ZMGT937-06",-3.66495468346211,-3.21462911861403
"ZKFV71L-6021",-1.34548012479434,-2.5259062200114
"ZK4CK8Y-02",-2.01072240648278,-1.14187265105932
"ZO9UWDL-02",-1.01673411089721,-1.29927820289363
"ZNED4XZ-2011",-1.29770382690197,-2.53660304259898
"ZNDMXI3-01",-1.69189464900764,-1.14183018476836
"ZY7IW45-04",-0.375747941600905,-0.178717176961823
"ZX52KVK-01",-3.53444475948481,-1.07696202927241
"ZL9BTWF-6031",-2.01230256797055,0.0719779141080419
"ZWLGEWL-06",-0.718974348463285,-0.853996125794113
"ZN3TBJM-2041",0.52840308846842,-0.364378352862409
"ZOZOW1T-4024",0.69850029363983,0.677793592331223
"ZVNCGHM-10",-11.1924561998925,4.95132677490937
"ZXSO14L-02",-4.04500413640912,1.13696232531684
"ZUC2YGO-05",-1.87299587113443,-1.30614304911367
"ZLTUJTN-2034",-0.362469845568105,1.66702461862012
"ZOZOW1T-7037",-3.3624339155063,-0.198787159883124
"ZMGT937-1011",-2.99710641992795,-0.802417966912793
"ZQFL1P3-03",-0.986061499024424,-1.69086535632609
"ZVNCGHM-1013",-1.71242981203521,-1.19253905238539
"ZN0JE53-12",0.544264706208529,1.11855108105261
"ZUPAQVU-07",-1.27705764537502,0.286258023353143
"ZKVR426-2024",-1.73992321438568,-0.753612027949878
"ZMGT937-04",0.504388462703046,1.97268209135672
"ZWCZHHY-07",2.18991996327118,1.16250634829092
