"","comp1","comp2"
"ZWLGEWL-02",-2.58030523228632,8.77473177106192
"ZW61YGW-04",-3.87727639029447,4.28101424479349
"ZQMVU4Q-04",-1.57320216680774,3.39970147971164
"ZLTUJTN-11",-2.71039424886587,2.15982135781332
"ZVBQY1N-03",-4.46981038524688,6.69135108489804
"ZLGD9M0-1012",0.824923567612312,2.08273982200276
"ZUPAQVU-10",-0.188011996333244,3.99402233150185
"ZLGD9M0-15",0.974728780008186,1.01847544129322
"ZX52KVK-2022",-3.94883241829636,0.979773069995091
"ZY9XQJP-01",-2.83534954173584,0.38357458656656
"ZVBQY1N-07",-1.72101340617157,-6.09230601015251
"ZMBVNFM-10",-6.54529803786557,-0.794044551926314
"ZVNCGHM-1011",-5.66907586614026,-6.42092734952323
"ZL9BTWF-06",-5.89452823940706,-1.2194195687202
"ZUPAQVU-07",-5.34555120938066,-6.75777786173549
"ZJXC41N-03",-4.52078623793731,-3.16934388236598
"ZTJ7L7Z-02",-5.72708351541667,-0.684765008540148
"ZPDABJR-3013",-6.29301415753088,-2.54608300309
"ZKFV71L-07",0.876844893923088,-5.67351784150087
"ZN0JE53-02",9.20296707280885,9.55621081084774
"ZM8YXDM-11",2.28058083268145,17.6363426332958
"ZWHMV5E-01",-1.94253917228756,16.7200111682499
"ZL9BTWF-1011",3.13222201695841,16.3047843397597
"ZOZOW1T-84",1.61029163054148,16.4168751451572
"ZN3TBJM-2025",7.11409537967636,9.41260638332676
"ZVNCGHM-10",-1.41206751303251,9.46002888347645
"ZLZNCLZ-1025",2.07433142053364,8.39172664859002
"ZLZNCLZ-2015",-0.0450802156976212,10.9309431539591
"ZPMBHPS-01",5.09300015849766,6.69328283338348
"ZKFV71L-2013",1.55443484305564,6.27054035370402
"ZLTUJTN-2034",2.39711126806655,7.58102456501502
"ZWLGEWL-2013",-1.06320332504647,8.53336641334484
"ZN9YTFN-1015",-0.760753613764902,9.12741238251313
"ZPEL6L3-02",-0.00216404777028165,7.95878768760717
"ZN9YTFN-04",3.48452541033702,1.21160346037684
"ZX52KVK-6031_2",3.62811683986843,7.99665233091322
"ZLZQMEV-1015",-0.935258695469123,8.05796664283344
"ZM8YXDM-06",1.67236472846102,2.10495406106038
"ZUL3S6O-2015",-4.05183800287527,7.16494653152451
"ZW61YGW-05",-1.70834991253272,5.06196952413577
"ZNDMXI3-06",-5.89267052312733,6.40613987630567
"ZKFV71L-2014",-3.21376593256706,3.64415137515032
"ZKVR426-1012",-3.99352902089128,4.74047903384408
"ZN0JE53-03",-4.95145059874995,3.91979761133614
"ZKVR426-09",-6.2382130622844,8.43427530966672
"ZKVR426-1015",-1.19673827307196,4.57633634688603
"ZN3TBJM-03",-4.5827249044289,1.50650411380077
"ZLZQMEV-10",-0.635711551588933,-1.12998655948597
"ZLZNCLZ-1012",-4.72168231583411,6.29621238718073
"ZWFDEY0-09",-5.42823869995324,4.98689794867739
"ZOZOW1T-4021",-4.22227422732617,7.48685428048606
"ZLTUJTN-2033",-2.65503997570374,5.25668755734541
"ZUPAQVU-04",-5.58569997333875,9.0415447531188
"ZY7IW45-04",-3.21326073327265,8.27148151009946
"ZXSO14L-02",-4.08758987618704,8.02947030348115
"ZLZQMEV-12",-2.89576603370032,-6.07426710871126
"ZLTUJTN-12",-7.4791716448532,-2.13161397740175
"ZN3TBJM-02",-6.54372853067637,-12.159854068451
"ZWCZHHY-04",-4.46604453013528,-12.1864446470769
"ZWFDEY0-05",-5.40425263234905,-8.73333000566461
"ZLPZS0H-15",-6.19016992098517,-6.15229135606916
"ZL63I8R-11",-0.873151985661535,-7.17163020652927
"ZKFV71L-02",-4.92147994458427,-5.0841723445101
"ZL63I8R-09",-2.86742302496457,1.53112274637777
"ZOZOW1T-7044",-3.12922324336159,3.96094766249128
"ZY9XQJP-07",-4.13508365939145,-1.64608538041387
"ZN3TBJM-4015",-2.70113595772733,-2.30229676958597
"ZVBQY1N-1014",-3.71718711471393,0.0315814901538128
"ZVBQY1N-1025",-3.68706941356413,-2.79000054131952
"ZX52KVK-8012",-6.54253727823738,-1.78861405603338
"ZOZOW1T-82",4.15552283407481,14.2628169266093
"ZWFDEY0-02",1.99509388907854,22.4794555329796
"ZVM4N7A-6021",2.23936771037846,12.8194476786901
"ZKFV71L-12",3.07972386203943,12.8027950346394
"ZOZOW1T-58",-0.4212172377558,14.7901617253033
"ZN9YTFN-07",0.984493024139353,12.5602118938834
"ZLTUJTN-2014",-0.168366638976408,13.7264624284441
"ZLZQMEV-01",0.495032949401947,14.6781119946685
"ZMBVNFM-03",-3.46602370324418,-4.36563074887156
"ZN3TBJM-2022",-1.85963737013745,-1.06887312438335
"ZYXQKWY-08",1.33008322507961,-5.89540947265578
"ZKVR426-10",-5.53310408420288,0.679217665183252
"ZX52KVK-1032",-8.18587158188185,1.83594585755687
"ZN3TBJM-1013",-6.77700920532188,-2.43875519931805
"ZMBVNFM-02",-9.12168682014521,1.29108883002411
"ZK112BX-1011",-8.92020314313852,1.78735649952451
"ZN3TBJM-4012",-8.21953690381061,-4.0409775638234
"ZX52KVK-4012",-6.15568806686994,-1.99649237342344
"ZLTUJTN-15",-9.27387043047492,-1.55924610842469
"ZJTKAE3-06",-7.47097880412573,-2.52545494883573
"ZYXQKWY-05",-3.06834529584162,0.944051665837719
"ZOZOW1T-53",-5.68566952573706,5.42222263479955
"ZN3TBJM-2052",-5.85080342076593,1.60666208423374
"ZLTUJTN-13",-5.74613708510784,2.26695105997793
"ZK4CK8Y-04",-4.82819915567875,-0.614357352531142
"ZTUO1AO-01",-3.45973524094479,-2.02246395171095
"ZOZOW1T-4026",-7.52818807992731,-2.16981397791273
"ZW61YGW-08",-5.99375625129371,4.39523036146086
"ZMBVNFM-1033",-5.36202125402433,0.695756291219829
"ZN3TBJM-01",-5.85681813812323,0.0541402413567194
"ZKFV71L-6011",-3.48662993828408,1.12903349049537
"ZK112BX-1014",-4.15799221602387,1.7073262708497
"ZY1ZKJY-2015",-4.88392259748173,3.81131473241572
"ZLZNCLZ-08",-4.02963343455189,0.711411419166047
"ZMBVNFM-07",-5.57449049386075,3.45689639286696
"ZK4CK8Y-06",-4.52336683362715,3.01208274733848
"ZQFL1P3-01",-6.91008674867471,5.16844361341207
"ZK4CK8Y-05",4.431582015484,4.1019703629116
"ZLPZS0H-06",6.41787763249004,7.07309054677181
"ZOZOW1T-56",-1.09595945788281,3.55488022236163
"ZKFV71L-6021",0.3324934595869,-1.24981653485561
"ZVGW5FI-03",1.77877757792841,-3.53557441123789
"ZOZOW1T-1022",0.581613654185045,-3.32469253509693
"ZX52KVK-6021",1.47343396332612,-8.55979118574017
"ZN3TBJM-1014",2.55742920514682,-2.71632381109782
"ZKVR426-11",1.2986627395838,-3.88355396179755
"ZW61YGW-03",-0.642539882521374,-3.36341785775164
"ZKFV71L-2011",-0.0171853925210283,-5.0334749206725
"ZNDMXI3-09",0.0447255850374779,-2.61077101852488
"ZLPRB8E-06",-0.166786795308211,-1.92494746708482
"ZKVR426-2011",-0.627379970575166,-0.677510921313236
"ZM7JY3G-02",-3.27255666586354,-1.09441503031511
"ZWLGEWL-04",-4.50978894175404,0.671422312296542
"ZQFL1P3-6011",-2.36157820384517,-1.79624659174746
"ZLZNCLZ-1011",0.999221075703684,-3.38393281978265
"ZOZOW1T-4024",-0.12366980215227,-2.39738788281019
"ZVC4YUG-01",2.15024439894507,-5.36535150217498
