"","comp1","comp2"
"ZOZOW1T-7015",-0.869642204162497,-1.51650498792342
"ZLZQMEV-1013",2.1648523883926,8.68202136178345
"ZLTUJTN-2034",0.0942685988516685,6.37927304229945
"ZTXWLP3-05",0.707370347711191,6.61947467812894
"ZSQNUZ5-04",-0.0583386487666357,5.1343286284135
"ZUL3S6O-2015",2.4288977587335,3.34015564392521
"ZWCZHHY-09",-0.29858227244578,4.32169614928974
"ZTXY83G-01",1.9791465036365,8.65743747908515
"ZK112BX-03",-1.76449248415415,6.61511427618812
"ZKVR426-2014",-3.50995787947368,-2.15814027699967
"ZX52KVK-1011",-3.18697831847169,1.81538493152949
"ZL9BTWF-6011",-2.80473021368306,-1.77484339025973
"ZX52KVK-01",-2.16535248698236,7.56875519843056
"ZN0JE53-2022",0.357045186574377,3.44926360541265
"ZTMFN3O-1015",-0.183615834496885,-2.41297801200369
"ZTLUDS8-1015",-3.84451082704125,6.68474929587242
"ZK112BX-13",-1.93761383167586,5.44250775459527
"ZL9BTWF-1013",-3.21412483832908,-0.189572033115156
"ZOZOW1T-4026",-3.67233572133786,1.56071092682914
"ZWLGEWL-06",-2.58301667187686,5.0250489139738
"ZPF36E2-01",-4.72270924315773,4.65660918458989
"ZNED4XZ-3001",-2.03258797445452,7.89033101931603
"ZVBQY1N-07",0.923420044116875,-3.99827765375115
"ZN9YTFN-01",0.577002035552085,3.63277524701832
"ZN0JE53-2013",0.588437156988934,2.56289215359016
"ZUG7QHE-06",10.2647862058251,-1.10841254060159
"ZTL5S2Y-1014",6.66682080814186,11.0549524252763
"ZM7JY3G-13",5.48071568390653,14.410994492832
"ZNDMXI3-01",6.5022992271795,10.8595840566322
"ZLZNCLZ-2012",10.0490651058607,1.71511392675932
"ZLYEM2C-1011",8.86209281019844,1.47008752319862
"ZNQOVZV-02",1.45901073421697,8.67248726102405
"ZN3TBJM-2045",2.06742526265967,5.00031633889522
"ZWCZHHY-02",3.07368424013872,9.37782456413367
"ZUC2YGO-1013",4.93006012933626,0.215494358462791
"ZTL5S2Y-06",3.33765625354709,4.12877439193782
"ZYXQKWY-04",1.63726201494236,7.26260858875793
"ZX52KVK-2013",1.08912855206424,7.9754815761792
"ZNED4XZ-4015",1.95733545746347,5.87191758182092
"ZX52KVK-4013",-0.00496918721435757,-2.43507693294665
"ZOZOW1T-1022",2.86672926473649,3.06197978950301
"ZKFV71L-2013",0.621247448041382,6.69254601157246
