"","comp1","comp2"
"ZWLGEWL-02",-2.32989014909666,5.47252379384441
"ZW61YGW-04",-3.8123161624779,2.69520738924198
"ZQMVU4Q-04",-2.90173470579823,2.58920541466861
"ZLTUJTN-11",-3.61899997225731,3.36807544273615
"ZVBQY1N-03",-5.30638149928563,5.10291333201952
"ZLGD9M0-1012",3.48614243832788,3.11247984103109
"ZUPAQVU-10",0.583780027831347,6.41374309060458
"ZLGD9M0-15",2.98188461811515,3.21260795722409
"ZX52KVK-2022",-5.97541204366616,-2.56850168587396
"ZY9XQJP-01",-5.52106273190423,-2.72536892931258
"ZVBQY1N-07",-6.15822702178152,-9.8216567456231
"ZMBVNFM-10",-7.88759812436955,-0.668477255585676
"ZVNCGHM-1011",-5.52279439259097,-6.74701448872976
"ZL9BTWF-06",-8.03466987644566,-2.56204054290423
"ZUPAQVU-07",-7.76835480080513,-8.06159199023699
"ZJXC41N-03",-5.33034304575809,-5.97354138514125
"ZTJ7L7Z-02",-6.13181209219467,-0.737046479201817
"ZPDABJR-3013",-8.00149728523519,-3.10623679270486
"ZKFV71L-07",-2.57580972914316,-8.23038759515924
"ZN0JE53-02",2.31641319841565,4.31331603328211
"ZM8YXDM-11",0.925704403183379,11.4622197652924
"ZWHMV5E-01",-4.27424426321813,12.3254866509656
"ZL9BTWF-1011",-0.635446118382211,12.6458411405829
"ZOZOW1T-84",-1.6794582222777,10.986126595585
"ZN3TBJM-2025",-1.36416968944931,3.5248645359086
"ZVNCGHM-10",-1.6030283629328,9.85375756076056
"ZLZNCLZ-1025",1.23395025222202,8.96283920168043
"ZLZNCLZ-2015",-0.343776181557924,11.2242775217557
"ZPMBHPS-01",5.29982972240566,6.19287337181212
"ZKFV71L-2013",-0.475969018166752,6.08631757778627
"ZLTUJTN-2034",2.3369286866882,7.98020591584816
"ZWLGEWL-2013",-0.786286326672884,9.73446634435576
"ZN9YTFN-1015",-0.626126263967619,9.5614210643018
"ZPEL6L3-02",-0.17023350371723,9.34088357878229
"ZN9YTFN-04",0.966568269669279,2.16050202324145
"ZX52KVK-6031_2",3.55592949128691,7.96530979993281
"ZLZQMEV-1015",-0.300069454736107,8.30838915914646
"ZM8YXDM-06",-3.79049613662938,-4.39788532287088
"ZUL3S6O-2015",-4.26297050137308,1.84040625493263
"ZW61YGW-05",-4.56061188998682,0.951051040669353
"ZNDMXI3-06",-7.53939442069905,2.60812432176388
"ZKFV71L-2014",-4.33955477018516,-2.60626326484704
"ZKVR426-1012",-6.05314932947874,0.79045662629758
"ZN0JE53-03",-6.64218221015671,2.13443407529092
"ZKVR426-09",-6.51995178320603,6.52809882867737
"ZKVR426-1015",-4.54529692245044,-2.25097576386123
"ZN3TBJM-03",-7.28718963012575,1.1430226525206
"ZLZQMEV-10",-5.22657416867638,-7.44896147283882
"ZLZNCLZ-1012",-6.13590780873999,3.32447196785208
"ZWFDEY0-09",-6.06304337960172,1.10016131607588
"ZOZOW1T-4021",-6.70346239057055,1.76213310271972
"ZLTUJTN-2033",-6.73492503487385,-0.884716253218164
"ZUPAQVU-04",-7.13804746654592,4.370653423037
"ZY7IW45-04",-4.78369437455873,1.5451574805793
"ZXSO14L-02",-5.63100903921442,2.44680193719646
"ZLZQMEV-12",-2.97880006547549,-5.31309264436146
"ZLTUJTN-12",-6.82935370565338,-0.991117751213078
"ZN3TBJM-02",-7.67129109940711,-8.44543034368733
"ZWCZHHY-04",-7.36892731275034,-13.3184303255034
"ZWFDEY0-05",-6.27831793786891,-7.50187569292847
"ZLPZS0H-15",-5.6247249985312,-6.02313495672839
"ZL63I8R-11",-1.03795909320229,-7.53174104392715
"ZKFV71L-02",-4.21978272781364,-4.95263133260987
"ZL63I8R-09",-2.51301690608631,1.97843078170188
"ZOZOW1T-7044",-1.87609899373362,3.90605005067901
"ZY9XQJP-07",-4.45844381469729,1.87975094102155
"ZN3TBJM-4015",-2.9120335795855,0.97767336098035
"ZVBQY1N-1014",-2.05696316983232,3.5704817494046
"ZVBQY1N-1025",-3.07946188872173,0.910426845442304
"ZX52KVK-8012",-5.33543726367382,5.22988657085072
"ZOZOW1T-82",4.66132213532292,7.03386619885732
"ZWFDEY0-02",4.34087594574198,15.594634527932
"ZVM4N7A-6021",3.01630964963053,8.36224908235152
"ZKFV71L-12",1.96000924449167,7.95974358313112
"ZOZOW1T-58",1.92106832746812,13.0140211115677
"ZN9YTFN-07",2.24737468585008,9.25694417564084
"ZLTUJTN-2014",0.0151685306534289,8.92776204962554
"ZLZQMEV-01",3.30827342160735,9.98014048945379
"ZMBVNFM-03",-4.68922985909067,2.81301683444575
"ZN3TBJM-2022",-2.90962739808918,4.46052281891478
"ZYXQKWY-08",-1.50400032115609,-0.497908169427238
"ZKVR426-10",-4.08272087989059,2.18583153079055
