"","comp1","comp2"
"ZOZOW1T-7015",-0.379570116501531,-5.71193959647836
"ZLZQMEV-1013",-0.0641861644374216,-3.73309602443903
"ZLTUJTN-2034",-1.49047592390197,-1.96729170552358
"ZTXWLP3-05",-0.637323458023308,-4.98414984949085
"ZSQNUZ5-04",-1.34690386860442,-4.05524784589532
"ZUL3S6O-2015",1.92214875654522,-5.02354781673828
"ZWCZHHY-09",-1.7527632208691,-2.93014599377266
"ZTXY83G-01",-0.281417926116585,-5.62248540783134
"ZK112BX-03",-2.50967450702346,-1.38552075631895
"ZKVR426-2014",-2.9634929169164,5.00078167081994
"ZX52KVK-1011",-5.65896988250376,1.70191365962148
"ZL9BTWF-6011",-3.12260102894004,2.53014907268356
"ZX52KVK-01",-4.81976908445213,5.24755894165959
"ZN0JE53-2022",-2.33221232216324,5.25675184921012
"ZTMFN3O-1015",0.187764913468914,11.1748742427669
"ZTLUDS8-1015",-6.03061895289726,4.41112237595723
"ZK112BX-13",-3.86758627197631,4.58679215446882
"ZL9BTWF-1013",-3.36837990588192,6.65756799583124
"ZOZOW1T-4026",-4.02838348696657,6.89699405390268
"ZWLGEWL-06",-4.40436223059385,3.35090697333266
"ZPF36E2-01",-5.87957250097341,7.04754781098991
"ZNED4XZ-3001",-4.7380695146396,0.41524196516709
"ZVBQY1N-07",0.109730011925727,12.3733603771219
"ZN9YTFN-01",-3.28923375692223,8.56560954585463
"ZN0JE53-2013",-2.77727115507324,6.69018952087325
"ZUG7QHE-06",6.75880675089355,2.51428385154415
"ZTL5S2Y-1014",1.08460796145626,-4.55983613052567
"ZM7JY3G-13",-0.572957897441397,-5.64485571509353
"ZNDMXI3-01",1.15190023420606,-4.81331264681844
"ZLZNCLZ-2012",6.47645415923725,2.44289570587584
"ZLYEM2C-1011",5.29627435460487,0.168754928298327
"ZNQOVZV-02",-1.80349424476058,-3.57893003677001
"ZN3TBJM-2045",-1.24528975459548,1.80718307312432
"ZWCZHHY-02",-1.30848478923049,-2.88561331641529
"ZUC2YGO-1013",2.273242319439,-2.20194089839988
"ZTL5S2Y-06",0.398353129140481,-1.44212738604724
"ZYXQKWY-04",-2.44467495014131,-2.48109895246298
"ZX52KVK-2013",-2.72707884768127,-2.26820172691648
"ZNED4XZ-4015",-0.861576495193114,-4.36563062178064
"ZX52KVK-4013",1.08171853746885,8.75701397342852
"ZOZOW1T-1022",0.0738249995981324,2.91153760741332
"ZKFV71L-2013",-1.7229702788361,-0.788632811483109
"ZOBX723-06",7.79708912822865,-1.7749641973726
"ZYU89T9-2015",1.0355962427918,-4.79214403056766
"ZKVR426-09",-0.594155353052358,-5.22776301349979
"ZK112BX-2001",1.16804006086039,-5.94233326665967
"ZOZOW1T-4025",4.93134858515624,-4.5056161771161
"ZV14SIB-03",-0.523187866600878,-3.94465137413412
"ZVC4YUG-01",-0.909135505231433,-3.81921155851581
"ZMBH10Z-08",4.77387161183627,-3.22016964129453
"ZOZOW1T-80",7.29014771739449,-0.215592520151578
"ZN3TBJM-10",0.790326161214553,-4.93911426038867
"ZV14SIB-04",1.97873963849206,-5.42197176659786
"ZYU89T9-07",2.26062551812779,-6.27309938744228
"ZMBVNFM-1013",-0.725164599249225,-4.64899505987267
"ZUF48YS-01",1.57459266438607,-8.78621959578002
"ZOBX723-1014",5.52296722463157,-8.81495246067339
"ZLTUJTN-09",3.63054515598372,-6.75129009389679
"ZVBQY1N-1021",0.378215281528963,-8.4194036736288
"ZTLIFAS-01",-3.13239065777046,-5.98559908563654
"ZMBVNFM-02",-4.04312062217322,-7.36542889915058
"ZYHHR4Z-8025",-4.0263563745327,2.37848506480036
"ZN9YTFN-04",1.35608268175029,0.164496910750805
"ZX52KVK-2015",-6.49388741705282,-3.9988044585336
"ZTJ7L7Z-4014",-1.60820003923523,-5.27709876233271
"ZOBX723-1015",-1.41490703632871,-5.47113236995756
"ZYLJ7R7-01",-3.88063261783765,-4.73988889821315
"ZXHCGKV-02",-2.73091761617417,-7.81268096392843
"ZYXQKWY-06",-1.11033681794566,-6.22918605667983
"ZQNZSQF-02",0.944710746768342,-3.61177609949882
"ZY9XQJP-01",-0.498456853670344,-4.05376716720423
"ZLTUJTN-13",-3.94431893362818,-5.79453618137186
"ZVBQY1N-6011",-2.12417504515451,-7.98048822998376
"ZIS22OE-02",0.91268979184308,-3.71515693595208
"ZUG7QHE-05",-4.25029639237742,-4.97467980554307
"ZYHHR4Z-2011",-3.04503763134993,-2.52242401307415
"ZX52KVK-8012",-5.52131919650863,-4.2607900475738
"ZN0JE53-02",-2.09338741326846,-7.51151759235428
"ZLTUJTN-15",-3.60191774123583,-3.91587062532774
"ZMBH10Z-02",-4.04943145683296,-6.31313421292474
"ZJTKAE3-04",2.07202102019246,0.172058452426462
"ZYHHR4Z-2013",2.91008679601435,-3.99347592877883
"ZN0JE53-07",1.77174213318524,-2.95483719919404
"ZMGT937-1014",-2.53657020361585,-6.2782832291926
"ZPMBHPS-01",-1.15843985473095,-4.22031168489684
"ZL9BTWF-07",-2.25189714403713,-5.01974487592311
"ZY9XQJP-06",1.4224476076145,-4.96113154693014
"ZTL5S2Y-01",1.93183021882709,-5.75742067701796
"ZKFV71L-6021",-11.5607999280004,1.48194424626656
"ZLGD9M0-09",-7.97035851138117,0.78020347869372
"ZYHHR4Z-05",-12.5702851879917,0.740724953679105
"ZWCZHHY-06",-11.056286471304,1.54337306501268
"ZLPZS0H-12",-9.59397609182623,2.32185010898445
"ZWCZHHY-10",-10.0361808934355,1.9749174596643
"ZK112BX-06",-12.3250925350355,1.77579986037688
"ZLZQMEV-1015",-9.56939414757263,0.19931443412346
"ZKVR426-2012",4.66304076687971,-8.0941757856627
"ZYU89T9-3012",6.18006594037734,-9.50768787756636
"ZLTUJTN-11",3.0400874554242,-7.57537615744561
"ZX52KVK-6021",1.28237475821841,-5.45515282174133
"ZN3TBJM-03",4.29278853583557,-5.29870129673951
"ZUC2YGO-1014",3.90005669336894,-3.03641517885649
"ZOBX723-05",5.50447284040661,-2.79159303179988
"ZNED4XZ-01",2.42895037291406,1.02115451793197
"ZLZNCLZ-01",7.65935513019041,-7.04007324734732
"ZPDABJR-3014",2.96535427308559,-4.52593978354477
"ZL63I8R-04",2.09901307212385,-3.57650249236745
"ZWCZHHY-05",7.59120839820515,-6.01193729193991
"ZTL5S2Y-1011",3.59510798712566,-6.55413157559606
"ZRB0F6P-6021",4.74213286118831,-4.66747745261351
"ZTXWLP3-04",1.56451121212916,-7.10704621478281
"ZVNCGHM-6031",-5.20687273136045,6.50987314334296
"ZKFV71L-02",-5.0070688747499,1.9159368972464
"ZV14SIB-01",-1.209467738816,3.66304240477461
"ZLZNCLZ-2011",-7.69525372287838,1.87530011612239
"ZLPZS0H-14",-0.789402503949504,-7.53306690400042
"ZQMVU4Q-03",-0.200882177076306,-1.66181850030861
"ZLPRB8E-06",0.786844881472414,-6.21291320481639
"ZYHHR4Z-07",2.27331884268839,-4.28025350284005
"ZX52KVK-1022",-0.310340732201654,-2.17534760364861
"ZKVR426-07",-2.16961451291515,-3.45919427575057
"ZLTUJTN-2032",-2.30010750124159,-2.93854492778542
"ZNQOVZV-1015",-0.719201164419093,-4.58838807083778
"ZLTUJTN-2024",-2.57011223617902,-3.42620652847355
"ZKFV71L-6011",-5.16230076373845,-3.88371382574531
"ZL63I8R-1011",1.08192825809186,-0.0680500267923017
"ZN3TBJM-4012",-5.95701218818509,-4.91301144946865
"ZWLGEWL-04",-4.80234472125305,-3.50004759128714
"ZY7IW45-2011",-2.98256779088228,-5.52576823038212
"ZY7IW45-04",-0.0751830755664432,-4.60150068476383
"ZTL5S2Y-1012",-9.27636651989234,4.01043909773288
"ZUG7QHE-07",-10.5185535516352,2.10326680614225
"ZN3TBJM-2022",-11.8846383126606,-0.0204093438021618
"ZJXC41N-11",-6.49338088380968,0.464169113685368
"ZLZNCLZ-14",-7.80404155579309,0.0325828041641479
"ZLTUJTN-2012",-7.75413961577229,2.07840807624875
"ZN3TBJM-2014",-11.2014590007951,-1.92381710939746
"ZOZOW1T-7022",-11.6730126656524,2.82992561206955
"ZWFDEY0-06",-12.0975633366902,-2.8594020448527
"ZW61YGW-08",-12.2522969661191,-3.75446817539494
"ZN9YTFN-6021",-12.5108932238133,-0.839744080288138
"ZMGT937-05",-12.1662777706699,4.32085434265287
"ZQMVU4Q-01",-12.5657249343993,7.52523644559486
"ZY1ZKJY-04",-8.84563563042443,0.340871379912757
"ZLZNCLZ-1023",1.32772547324699,-0.0755691100109345
"ZKVR426-13",-0.535640427003545,-4.16667064022937
"ZN3TBJM-4014",2.92395240279377,-3.02394205469422
"ZLZNCLZ-1012",-6.0593342166726,2.3241177545062
"ZMGT937-08",-7.22662038841495,-0.579500706178927
"ZR3WH7V-6011",-7.07338519358849,1.83000000129857
"ZLGD9M0-1013",-4.96330282365754,4.69542712393799
"ZPEL6L3-03",-7.94693958983655,0.98539784392148
"ZUG7QHE-03",-6.12495359148511,-1.85994245793264
"ZKFV71L-09",-4.86004970039525,3.39068018796383
"ZYHHR4Z-01",-6.04661114739922,1.40748957665589
"ZN0JE53-03",-4.04184695581987,4.67161602369767
"ZY1ZKJY-2012",-7.11251258367612,6.13610096262346
"ZTJ7L7Z-02",-3.4287666734805,9.31146046859937
"ZMBVNFM-2012",-5.40037933290711,0.954803155575085
"ZOZOW1T-7036",-4.30279665318122,1.26324336600086
"ZN9YTFN-1015",-9.81030075837603,2.95733949750454
"ZYXQKWY-03",-9.73958080865231,3.9994383463844
"ZOZOW1T-4024",-5.71349601685537,3.3289582098466
"ZYHHR4Z-8023",-9.72749379879539,3.34218341063913
"ZOZOW1T-59",-7.9678734072819,3.10994481588327
"ZY1ZKJY-01",-7.11749907891371,1.43826262496393
"ZM7JY3G-04",-9.92911518015622,2.3327789815333
