SampleID,phylum_Actinobacteria,phylum_Bacteroidetes,phylum_Firmicutes,phylum_Proteobacteria,phylum_Verrucomicrobia,phylum_unclassified_Bacteria,class_Actinobacteria,class_Bacilli,class_Bacteroidia,class_Betaproteobacteria,class_Clostridia,class_Deltaproteobacteria,class_Erysipelotrichia,class_Gammaproteobacteria,class_Negativicutes,class_Verrucomicrobiae,class_unclassified_Bacteria,class_unclassified_Firmicutes,order_Bacteroidales,order_Burkholderiales,order_Clostridiales,order_Coriobacteriales,order_Desulfovibrionales,order_Enterobacteriales,order_Erysipelotrichales,order_Lactobacillales,order_Selenomonadales,order_Verrucomicrobiales,order_unclassified_Bacteria,order_unclassified_Firmicutes,family_Acidaminococcaceae,family_Bacteroidaceae,family_Clostridiaceae.1,family_Clostridiales_Incertae.Sedis.XIII,family_Coriobacteriaceae,family_Desulfovibrionaceae,family_Enterobacteriaceae,family_Erysipelotrichaceae,family_Lachnospiraceae,family_Peptostreptococcaceae,family_Porphyromonadaceae,family_Prevotellaceae,family_Rikenellaceae,family_Ruminococcaceae,family_Streptococcaceae,family_Sutterellaceae,family_Veillonellaceae,family_Verrucomicrobiaceae,family_unclassified_Bacteria,family_unclassified_Clostridiales,family_unclassified_Firmicutes,genus_Akkermansia,genus_Alistipes,genus_Anaerotruncus,genus_Anaerovorax,genus_Bacteroides,genus_Barnesiella,genus_Bilophila,genus_Blautia,genus_Butyricicoccus,genus_Butyricimonas,genus_Clostridium.IV,genus_Clostridium.XI,genus_Clostridium.XVIII,genus_Clostridium.XlVa,genus_Clostridium.XlVb,genus_Clostridium.sensu.stricto,genus_Collinsella,genus_Coprococcus,genus_Dorea,genus_Eggerthella,genus_Erysipelotrichaceae_incertae_sedis,genus_Faecalibacterium,genus_Flavonifractor,genus_Holdemania,genus_Lachnospiracea_incertae_sedis,genus_Odoribacter,genus_Oscillibacter,genus_Parabacteroides,genus_Parasutterella,genus_Phascolarctobacterium,genus_Prevotella,genus_Pseudoflavonifractor,genus_Roseburia,genus_Ruminococcus,genus_Streptococcus,genus_Veillonella,genus_unclassified_Bacteria,genus_unclassified_Clostridiales,genus_unclassified_Clostridiales_Incertae.Sedis.XIII,genus_unclassified_Coriobacteriaceae,genus_unclassified_Erysipelotrichaceae,genus_unclassified_Firmicutes,genus_unclassified_Lachnospiraceae,genus_unclassified_Porphyromonadaceae,genus_unclassified_Ruminococcaceae
ZOZOW1T-1010,0.00044946900000000003,0.650866093,0.22508038600000002,0.007364381,0.015835148,0.09743111,0.00044946900000000003,0.000138298,0.650866093,0.001936175,0.20561490899999998,0.0,0.0026622409999999997,0.000138298,0.000968088,0.015835148,0.09743111,0.01569685,0.650866093,0.001936175,0.20561490899999998,0.00044946900000000003,0.0,3.46e-05,0.0026622409999999997,0.000138298,0.000968088,0.015835148,0.09743111,0.01569685,0.000968088,0.589288801,0.000484044,0.000518618,0.00044946900000000003,0.0,3.46e-05,0.0026622409999999997,0.083670435,0.00591225,0.024582512,0.015593127,0.020571863,0.107077412,0.000138298,0.0018670260000000001,0.0,0.015835148,0.09743111,0.007883,0.01569685,0.015835148,0.020571863,3.46e-05,0.000484044,0.589288801,0.000587768,0.0,0.00985375,0.00017287299999999998,0.000898939,0.000968088,0.00591225,0.00017287299999999998,0.000103724,0.000691491,0.000484044,3.46e-05,0.00159043,0.005186184,0.0,0.0,0.029215502999999997,6.91e-05,6.91e-05,0.035957542,0.005186184,0.002420219,0.017909622,0.000103724,0.000968088,0.0,6.91e-05,0.0024547939999999997,0.0,0.000138298,0.0,0.09743111,0.007883,3.46e-05,0.000414895,0.002385645,0.01569685,0.027452201000000002,0.0,0.074127857
ZOZOW1T-1011,0.000175673,0.730517883,0.184807814,0.003899937,0.008186354,0.07090155299999999,0.000175673,7.03e-05,0.730517883,0.001510786,0.17412690600000003,7.03e-05,0.001054037,3.5100000000000006e-05,0.000948633,0.008186354,0.07090155299999999,0.008607969,0.730517883,0.001510786,0.17412690600000003,0.000175673,7.03e-05,0.0,0.001054037,7.03e-05,0.000948633,0.008186354,0.07090155299999999,0.008607969,0.0009134989999999999,0.625008784,0.000316211,0.000351346,0.000175673,7.03e-05,0.0,0.001054037,0.043988476,0.0033026490000000004,0.057058534,0.021678027000000002,0.026034712999999998,0.117419718,3.5100000000000006e-05,0.0014053829999999998,3.5100000000000006e-05,0.008186354,0.07090155299999999,0.008713371999999999,0.008607969,0.008186354,0.026034712999999998,7.03e-05,0.000210807,0.625008784,0.0014053829999999998,0.0,0.004145879,7.03e-05,0.001721594,0.00077296,0.0033026490000000004,3.5100000000000006e-05,3.5100000000000006e-05,0.0006675569999999999,0.000316211,0.0,0.001124306,0.0021432079999999997,0.0,3.5100000000000006e-05,0.043496592,0.0,7.03e-05,0.021923968999999998,0.007835008000000001,0.0037945329999999997,0.04609655,0.000105404,0.0009134989999999999,3.5100000000000006e-05,0.0,0.001686459,0.0,3.5100000000000006e-05,3.5100000000000006e-05,0.07090155299999999,0.008713371999999999,0.000140538,0.000175673,0.000808095,0.008607969,0.011805214,0.0,0.069215094
ZOZOW1T-1012,0.000597467,0.178363738,0.796861308,0.00035848,0.002788178,0.020911336000000003,0.000597467,0.00011949299999999999,0.178363738,7.97e-05,0.7930375209999999,0.0,0.0018322310000000001,3.98e-05,0.0009957780000000001,0.002788178,0.020911336000000003,0.000876285,0.178363738,7.97e-05,0.79299769,0.000597467,0.0,3.98e-05,0.0018322310000000001,0.00011949299999999999,0.0009957780000000001,0.002788178,0.020911336000000003,0.000876285,0.000916116,0.163705887,7.97e-05,0.000876285,0.000597467,0.0,3.98e-05,0.0018322310000000001,0.093842109,0.007408588000000001,0.010037441,0.000557636,0.004062774,0.667848323,3.98e-05,0.0,7.97e-05,0.002788178,0.020911336000000003,0.022902892,0.000876285,0.002788178,0.004062774,0.00019915599999999997,0.00035848,0.163705887,0.000278818,0.0,0.019835896000000002,3.98e-05,3.98e-05,0.00107544,0.007408588000000001,0.0,0.0,0.000836453,7.97e-05,0.00019915599999999997,0.003505138,0.00394328,0.0,3.98e-05,0.035768342,0.000278818,3.98e-05,0.044730343,0.00035848,0.014896837,0.009360311999999999,0.0,0.000916116,0.000159324,0.000238987,0.002310205,0.0,3.98e-05,7.97e-05,0.020911336000000003,0.022902892,0.000517805,0.000398311,0.0017127379999999999,0.000876285,0.018362145,0.0,0.615350912
ZOZOW1T-1015,5.7499999999999995e-05,0.7407258409999999,0.226516479,0.00597684,0.001206862,0.024970547000000003,5.7499999999999995e-05,2.8699999999999996e-05,0.7407258409999999,0.001178127,0.213815695,8.62e-05,0.004338956,0.0,0.000603431,0.001206862,0.024970547000000003,0.007729663,0.7407258409999999,0.001178127,0.213815695,5.7499999999999995e-05,8.62e-05,0.0,0.004338956,2.8699999999999996e-05,0.000603431,0.001206862,0.024970547000000003,0.007729663,0.000574696,0.691043361,0.001839028,0.000402287,5.7499999999999995e-05,8.62e-05,0.0,0.004338956,0.110226718,0.004338956,0.018390276,0.021666044,0.009367547,0.083963105,2.8699999999999996e-05,0.001063188,2.8699999999999996e-05,0.001206862,0.024970547000000003,0.013045602,0.007729663,0.001206862,0.009367547,0.0,0.000316083,0.691043361,0.00071837,0.0,0.013275481,0.00017240900000000002,0.00017240900000000002,0.000431022,0.004338956,0.00020114400000000002,5.7499999999999995e-05,0.0006609010000000001,0.001839028,2.8699999999999996e-05,0.003563116,0.00293095,0.0,0.0,0.013850177,0.00017240900000000002,2.8699999999999996e-05,0.034481767999999996,0.002701072,0.00215511,0.014769691000000001,8.62e-05,0.000574696,0.0,5.7499999999999995e-05,0.010947961,0.0,2.8699999999999996e-05,2.8699999999999996e-05,0.024970547000000003,0.013045602,8.62e-05,2.8699999999999996e-05,0.004109077,0.007729663,0.043849315,2.8699999999999996e-05,0.067095773
ZOZOW1T-1021,0.001112673,0.554579527,0.364195362,0.038357929,5.8599999999999995e-05,0.041286015,0.001112673,5.8599999999999995e-05,0.554579527,0.011595221000000001,0.348383696,0.0,0.001171234,0.000117123,0.01358632,5.8599999999999995e-05,0.041286015,0.0009955489999999999,0.554579527,0.011595221000000001,0.348383696,0.0010541110000000002,0.0,0.0,0.001171234,5.8599999999999995e-05,0.01358632,5.8599999999999995e-05,0.041286015,0.0009955489999999999,0.013176388,0.48805340799999997,0.0,0.00040993199999999995,0.0010541110000000002,0.0,0.0,0.001171234,0.21591707699999999,0.000936988,0.037420942,0.01868119,0.010248301999999999,0.124853596,5.8599999999999995e-05,0.01153666,0.00040993199999999995,5.8599999999999995e-05,0.041286015,0.006207543,0.0009955489999999999,5.8599999999999995e-05,0.010248301999999999,0.000117123,0.000292809,0.48805340799999997,0.0029866479999999997,0.0,0.008784259,0.000527056,0.001405481,0.009779808000000001,0.000936988,5.8599999999999995e-05,0.000936988,0.001405481,0.0,0.0008784260000000001,0.009662684,0.00169829,0.0,0.0,0.057507613,0.0,0.000175685,0.045736705999999995,0.004157882,0.012063715,0.013117826,0.000585617,0.013176388,0.0,0.000234247,0.014874678,0.0,5.8599999999999995e-05,0.00040993199999999995,0.041286015,0.006207543,0.000117123,0.000175685,0.000468494,0.0009955489999999999,0.132583743,0.015753104,0.04462403400000001
ZOZOW1T-1022,0.001603395,0.39504833799999994,0.48804527200000003,0.038009903,0.000282952,0.074935157,0.001603395,4.72e-05,0.395001179,0.016505541000000002,0.46144777200000003,0.00023579299999999998,0.002593728,0.000141476,0.01367602,0.000282952,0.074935157,0.010280594,0.395001179,0.016505541000000002,0.46078755,0.001603395,0.00023579299999999998,0.000141476,0.002593728,4.72e-05,0.01367602,0.000282952,0.074935157,0.010280594,0.013440226000000001,0.30393775100000003,4.72e-05,0.00023579299999999998,0.001603395,0.00023579299999999998,0.000141476,0.002593728,0.18401320399999999,0.002027824,0.055647253,0.012638528999999999,0.022541852999999997,0.252204669,4.72e-05,0.016128272,0.00023579299999999998,0.000282952,0.074935157,0.022258901,0.010280594,0.000282952,0.022541852999999997,0.000848856,0.00023579299999999998,0.30393775100000003,0.018486206,9.429999999999999e-05,0.009997642,0.002546569,0.007403914,0.025371375,0.002027824,0.000330111,0.003631219,0.00108465,4.72e-05,0.00108465,0.005706201,0.001980665,4.72e-05,0.0,0.08856401800000001,0.000848856,0.000188635,0.04456496099999999,0.007781184,0.064843197,0.016599858999999998,0.001320443,0.013440226000000001,0.008724357,0.00023579299999999998,0.008677199,0.0,4.72e-05,0.00023579299999999998,0.074935157,0.022258901,0.0,0.000424428,0.001886348,0.010280594,0.10818203300000001,0.0053760909999999995,0.068898845
ZOZOW1T-1022-1,0.00127551,0.47771608600000004,0.48544417799999995,0.007878151,0.0,0.027686073999999998,0.00127551,0.00015006,0.47756602600000003,0.006677671,0.470663265,0.0,0.00262605,7.5e-05,0.009903961999999999,0.0,0.027686073999999998,0.00210084,0.47756602600000003,0.006677671,0.470663265,0.00127551,0.0,0.0,0.00262605,0.00015006,0.009903961999999999,0.0,0.027686073999999998,0.00210084,0.009528812,0.431047419,0.007503001,0.00015006,0.00127551,0.0,0.0,0.00262605,0.283613445,0.0015006,0.025135054,0.012229892,0.008928571,0.17031812699999999,0.0,0.006677671,0.00037515,0.0,0.027686073999999998,0.007503001,0.00210084,0.0,0.008928571,7.5e-05,0.00015006,0.431047419,0.00285114,0.0,0.017782113000000002,0.00090036,0.00097539,0.007277911,0.0015006,0.00037515,0.00127551,0.00127551,0.007503001,0.00120048,0.006527611,0.004801921,0.0,0.0,0.115846339,0.00045018,7.5e-05,0.06490096,0.00255102,0.010729292,0.015156062,0.00052521,0.009528812,0.0,7.5e-05,0.026635653999999998,0.0,0.0,0.00037515,0.027686073999999998,0.007503001,0.0,7.5e-05,0.00202581,0.00210084,0.160264106,0.003601441,0.034963986
ZOZOW1T-1023,0.001046609,0.565308401,0.389478091,0.014443204,0.0,0.02874686,0.001046609,6.979999999999999e-05,0.565308401,0.012698856000000001,0.364359475,6.979999999999999e-05,0.000907061,0.000209322,0.00851242,0.0,0.02874686,0.015629361,0.565308401,0.012698856000000001,0.364359475,0.001046609,6.979999999999999e-05,0.000209322,0.000907061,6.979999999999999e-05,0.00851242,0.0,0.02874686,0.015629361,0.00851242,0.488975719,0.000139548,0.000139548,0.001046609,6.979999999999999e-05,0.000209322,0.000907061,0.19411108,0.001325705,0.032793748,0.030072565,0.013326821,0.15943343599999998,0.0,0.012698856000000001,0.0,0.0,0.02874686,0.009210159,0.015629361,0.0,0.013326821,0.000279096,0.0,0.488975719,0.005023723,0.0,0.011791795,0.0008372869999999999,0.003209601,0.008651968000000001,0.001325705,6.979999999999999e-05,0.000488418,0.0008372869999999999,0.000139548,0.0008372869999999999,0.008791515,0.003209601,0.0,0.0,0.05784259,0.000558191,0.0,0.045701926,0.005442366999999999,0.013675691,0.015001395,0.001255931,0.00851242,6.979999999999999e-05,0.000139548,0.008651968000000001,0.0,0.0,0.0,0.02874686,0.009210159,0.000139548,0.000209322,0.000627965,0.015629361,0.114499023,0.004116662,0.077379291
ZOZOW1T-1024-1,0.000303767,0.559173755,0.40200486,0.017132442,0.0,0.02126367,0.000303767,0.00018226,0.559173755,0.009234508,0.390886999,0.0,0.00164034,0.0,0.008687728,0.0,0.02126367,0.000607533,0.559173755,0.009234508,0.390886999,0.000303767,0.0,0.0,0.00164034,0.0,0.008687728,0.0,0.02126367,0.000607533,0.008687728,0.505771567,0.0,0.00024301299999999999,0.000303767,0.0,0.0,0.00164034,0.22885783699999998,0.0,0.02144593,0.029040097,0.002794654,0.157776428,0.0,0.009234508,0.0,0.0,0.02126367,0.004009721,0.000607533,0.0,0.002794654,0.00018226,0.000121507,0.505771567,0.003402187,0.0,0.017436208999999998,0.000850547,0.0009113,0.000789793,0.0,0.000789793,0.0024908870000000002,0.001397327,0.0,0.0,0.0009113,0.003219927,0.00018226,0.00024301299999999999,0.134629405,0.000607533,6.08e-05,0.119623329,0.002612394,0.008748480999999999,0.014459295,0.009234508,0.008687728,0.0,0.000121507,0.021324423,0.0,0.0,0.0,0.02126367,0.004009721,0.000121507,0.0,0.0,0.000607533,0.062211422,6.08e-05,0.011786148
ZOZOW1T-1025,0.000415261,0.57638204,0.388216974,0.018167662,0.0,0.016818064,0.000415261,0.000103815,0.57638204,0.010329613,0.378562159,0.0,0.001712951,0.0,0.007682325,0.0,0.016818064,0.000155723,0.57638204,0.010329613,0.378458344,0.000415261,0.0,0.0,0.001712951,0.000103815,0.007682325,0.0,0.016818064,0.000155723,0.007682325,0.499506878,0.0,0.000311446,0.000415261,0.0,0.0,0.001712951,0.23192317699999998,0.0,0.019672982,0.052790034000000007,0.004204516,0.139008565,0.000103815,0.010329613,0.0,0.0,0.016818064,0.007215157,0.000155723,0.0,0.004204516,0.000311446,0.00025953799999999997,0.499506878,0.003218271,0.0,0.015468466,0.000467168,0.00109006,0.0008824289999999999,0.0,0.000570984,0.000622891,0.0010381519999999999,0.0,0.0,0.0010381519999999999,0.001764859,5.19e-05,0.000622891,0.10511289900000001,0.000570984,0.000363353,0.12899039699999998,0.0030106409999999997,0.016350895,0.011990657,0.010329613,0.007682325,0.0,0.000363353,0.024240851,0.0,0.000103815,0.0,0.016818064,0.007215157,5.19e-05,0.00020763,5.19e-05,0.000155723,0.058344147,0.000363353,0.01494939
